,color_name,red,green,blue
0,aliceblue,0.9411764705882353,0.9725490196078431,1.0
1,antiquewhite,0.9803921568627451,0.9215686274509803,0.8431372549019608
2,aqua,0.0,1.0,1.0
3,aquamarine,0.4980392156862745,1.0,0.8313725490196079
4,azure,0.9411764705882353,1.0,1.0
5,beige,0.9607843137254902,0.9607843137254902,0.8627450980392157
6,bisque,1.0,0.8941176470588236,0.7686274509803922
7,black,0.0,0.0,0.0
8,blanchedalmond,1.0,0.9215686274509803,0.803921568627451
9,blue,0.0,0.0,1.0
10,blueviolet,0.5411764705882353,0.16862745098039217,0.8862745098039215
11,brown,0.6470588235294118,0.16470588235294117,0.16470588235294117
12,burlywood,0.8705882352941177,0.7215686274509804,0.5294117647058824
13,cadetblue,0.37254901960784315,0.6196078431372549,0.6274509803921569
14,chartreuse,0.4980392156862745,1.0,0.0
15,chocolate,0.8235294117647058,0.4117647058823529,0.11764705882352941
16,coral,1.0,0.4980392156862745,0.3137254901960784
17,cornflowerblue,0.39215686274509803,0.5843137254901961,0.9294117647058824
18,cornsilk,1.0,0.9725490196078431,0.8627450980392157
19,crimson,0.8627450980392157,0.0784313725490196,0.23529411764705882
20,cyan,0.0,1.0,1.0
21,darkblue,0.0,0.0,0.5450980392156862
22,darkcyan,0.0,0.5450980392156862,0.5450980392156862
23,darkgoldenrod,0.7215686274509804,0.5254901960784314,0.043137254901960784
24,darkgray,0.6627450980392157,0.6627450980392157,0.6627450980392157
25,darkgreen,0.0,0.39215686274509803,0.0
26,darkgrey,0.6627450980392157,0.6627450980392157,0.6627450980392157
27,darkkhaki,0.7411764705882353,0.7176470588235294,0.4196078431372549
28,darkmagenta,0.5450980392156862,0.0,0.5450980392156862
29,darkolivegreen,0.3333333333333333,0.4196078431372549,0.1843137254901961
30,darkorange,1.0,0.5490196078431373,0.0
31,darkorchid,0.6,0.19607843137254902,0.8
32,darkred,0.5450980392156862,0.0,0.0
33,darksalmon,0.9137254901960784,0.5882352941176471,0.47843137254901963
34,darkseagreen,0.5607843137254902,0.7372549019607844,0.5607843137254902
35,darkslateblue,0.2823529411764706,0.23921568627450981,0.5450980392156862
36,darkslategray,0.1843137254901961,0.30980392156862746,0.30980392156862746
37,darkslategrey,0.1843137254901961,0.30980392156862746,0.30980392156862746
38,darkturquoise,0.0,0.807843137254902,0.8196078431372549
39,darkviolet,0.5803921568627451,0.0,0.8274509803921568
40,deeppink,1.0,0.0784313725490196,0.5764705882352941
